ERR1464420	ERR1464446	ERR1464459	ERR1464475	ERR1464486	ERR1464501	ERR1464510	ERR1464524	ERR1464534	ERR1464625	ERR1464634	ERR1464643	ERR1464652	ERR1464660	ERR1464666	ERR1464672	ERR1464676	ERR1464682	ERR1464685	ERR1464688	ERR1464690	ERR1464692	ERR1464694	ERR1465454	ERR1465498	ERR1467340	ERR1467609	ERR1467634	ERR1467646	ERR1467653	ERR1467659	ERR1467667	ERR1467677	ERR1467821	ERR1467823	ERR3933565	ERR3933661	ERR3933700	ERR3933789	ERR3933880	ERR3933953	ERR3935242	ERR3935541	ERR3935581	ERR3935617	ERR3935667	ERR3935700	ERR3935745	ERR3935804	ERR3937260	ERR3938814	ERR3938882	ERR3938913	ERR3939008	ERR3939175	ERR3939206	ERR3939273	ERR3939371	ERR3939383	ERR3939592	ERR3939664	ERR3939966	ERR3939979	ERR3939992	ERR3940006	ERR3940022	ERR3940033	ERR3940047	ERR3940064	ERR3940080	ERR3940096	ERR3940108	ERR3940123	ERR3940136	ERR3940153	ERR3940170	ERR3940183	ERR3940194	ERR3940209	ERR3940223	ERR3940237	ERR3940244	ERR3940251	ERR3940258	ERR3940261	ERR3940266	ERR3940269	ERR3940275	ERR3940285	ERR3940289	ERR3940302	ERR3940305	ERR3940311	ERR3940313	ERR3940316	ERR3940318	ERR3940830	ERR3940874	ERR3940899	ERR3940936	ERR3947638	ERR3947664	ERR3947704	ERR3947715	ERR3947723	ERR3947731	ERR3947739	ERR3947770	ERR3947778	ERR3947786	ERR3947794	ERR3947802	ERR3947808	ERR3947841	ERR3947849	ERR3947856	ERR3947914	ERR3947930	ERR3947950	ERR3947957	ERR3948042	ERR3948068	ERR3948088	ERR3948099	ERR3948200	ERR3948233	ERR3949567	ERR3949568	ERR3949576	ERR3949593	ERR3949608	ERR3949619	ERR3949643	ERR3949649	ERR3949664	ERR3949676	ERR3949696	ERR3949710
ERR1464420	0	17751.4825578034	20748.1012866238	20687.6199936097	17462.1838267726	21461.298446273	18448.2494833521	23084.3205444735	29400.2606791164	18066.1929304433	20666.3799200537	17141.8157439636	17727.6315112877	24040.448706295	20905.6235257406	23919.766282303	20354.0166551961	18897.9845486232	17731.4718227224	19848.4601669752	20134.0768350575	20885.1881964228	16016.82790068	23588.8839498608	18384.2717832391	21113.0810162799	24744.6518868219	22801.6786662737	29685.3616114071	23719.1125466363	20450.484468589	20523.2815358558	20191.3435412307	20974.7372569956	19031.3213151373	72530.8322370563	45435.535189981	104166.61457492	23729.2100795623	17433.3738845927	58006.6380770339	71465.514095961	46946.569086569	32471.5455591507	76070.847004618	48814.2662958279	26307.7770440606	134961.350556372	31329.6106582894	35000.4284688059	100267.80893188	89089.3969504789	121447.088618871	83414.6933399626	93361.6992079729	82030.1147140488	136555.189297222	223916.822121519	169145.982186985	143950.648636955	93626.5526333209	19716.8821064589	38315.9625221656	18820.2897427218	17074.9423132261	19557.2847297369	17400.0940227345	16456.3179964414	38561.6694140697	20922.8281071178	18989.0909998346	15692.7287939351	25216.7401144557	29962.0814363755	19446.7146582655	19931.5551826745	21250.3178799753	18739.5773431526	19529.8923192116	20279.80737088	16671.1439919401	23898.0939407309	22656.5921974157	21594.5734618677	25897.7079680809	24675.0568793671	27076.2744667726	20509.2852142633	20092.8027910493	33080.4170469479	17432.5815070517	31550.9044244377	21338.8136033848	25273.4778770157	23150.2945553615	30734.6242371694	50483.1901725713	64110.6375962679	75821.6436382119	100971.2580193	85393.5793370907	45997.1262037097	111361.602368141	22163.4546946093	51501.6994379797	92779.1574977915	128383.245001051	55852.331938783	50771.4661399491	114936.913548259	17973.0791463233	108221.422366369	49511.974208266	106403.829024147	165405.367146898	125074.778292828	163938.34441643	71001.1100758291	230189.107713636	102667.026985298	78332.4757619724	19548.1982545707	50411.5158470761	18411.8127027189	48059.0559208148	102936.883554924	31274.2989849493	19238.4454413552	18461.3404442906	58927.1647799213	73178.9201068176	17432.6886623951	65112.2462675033	90501.487247448	27162.8944333994	22039.2544565373	36582.6744101631	31815.7269286748
ERR1464446	17751.4825578034	0	14085.4705281719	10778.2383532746	4026.73031130718	14622.072835272	6873.340817972	22568.3921004577	22695.0201806476	8349.55519773359	11840.4695852825	9107.72671965952	13621.1953219973	14700.973131055	16066.0957298281	20935.8964460565	12152.7839197445	9967.60307195266	2888.7135545083	9875.78948742833	12454.0292676708	12090.6466741858	9995.4833299846	16027.9921075598	6065.77002531418	12480.2535631292	24683.113539422	13906.0779157892	23908.9165166471	25940.9755599129	9833.85305971164	12994.0392488248	9405.42869836352	12276.4949395175	8239.46260383528	70496.3083146912	42111.7052492534	102760.359346394	16494.9468626001	3595.88459214141	55441.6623307779	69399.766325255	43737.7206767797	27629.8594278002	74133.5391371544	45736.642366925	20027.6557290163	133878.952808124	26278.3630578467	30562.0328839559	98806.0796155783	87441.0001658261	120243.100404971	81651.8152033376	91790.057958365	80236.8218525634	135485.525370794	223266.099285136	168283.603333777	142936.339340281	92059.4330799403	12092.7395159244	34482.6846257654	8271.96669480723	4932.59424643868	7224.01820318858	3585.23597549729	4038.94775900853	34197.0932829093	11926.8983813899	8279.21687117809	9553.13707637444	18705.2134711155	32863.0882145912	12950.4302631225	10030.8128783265	10227.0522145924	10541.7460603071	10403.1994597816	10310.8536988942	8875.89516612268	26110.4750052541	20179.989073337	12546.6603524603	20063.1087571194	17736.5512149347	18747.4083542233	15249.1474187903	10275.2435007643	28388.9851350836	3591.37062971785	30966.0890491518	13610.3231041735	18106.7851646834	15170.1015487702	34723.2187160119	47513.7911663551	61799.5284286215	73877.8011651673	99519.8613694774	83672.4043696606	42717.016281571	110047.327741295	14150.1443455535	48594.5769196523	91197.477635075	127244.903465718	53183.5580231334	47819.9710894936	113663.987071543	5660.33877078042	106868.536623274	46480.5706828133	105027.533018728	164523.38235643	123906.04515519	163048.424190484	68921.4443624044	229556.165613124	101239.944147555	76452.4991089238	9546.72278847563	47437.6305373698	6928.39866058529	44929.730880565	101513.594444291	26212.3947398936	8895.25963645806	7058.96253000397	56404.0655449587	71162.9272093272	3592.56106419919	62837.9859241208	88879.2836098492	21138.3702068064	13954.8055522103	32362.0136579911	26856.0671171339
ERR1464459	20748.1012866238	14085.4705281719	0	18091.8767406812	14046.0490886228	19170.7394745221	14937.9423616508	23773.8020939016	27742.741411043	14930.9944745821	17049.0206756869	13015.5285716716	11245.8677744316	21463.6928090205	19722.5283876079	20911.7798859877	18473.6005965269	16116.5701996424	14052.267859673	17374.0133532814	17595.4854721318	17839.2488911389	15062.0137099924	20930.8658922654	15180.9849482832	18102.8392524488	19382.4416934503	20063.7631814174	27843.3179596111	26168.2634693248	14753.7947660932	18589.9079610417	17072.980436936	17230.1446888876	12965.3939392523	71711.2292601375	44115.3786677617	103597.598278145	21091.5667507182	13627.2264969802	56978.4945220563	70633.5506823776	45670.1119551945	30597.0594665566	75289.7904167623	47587.9330397949	23955.7489968483	134522.655790763	29382.3634345503	33268.7356237053	99676.5382876031	88423.409943295	120959.390338245	82703.0219641338	92726.4021517065	81306.3250737604	136121.631275121	223652.681642765	168796.155367947	143539.430192543	92993.0649833631	17258.1448887185	36828.5506774296	15774.1021614544	13693.1857505841	16255.3126392574	13609.1235206386	13409.8101776274	37237.6203187046	18274.1311968586	15582.0301629794	14360.7060411388	23671.7719869046	32867.5607096115	17494.9648184842	16853.8907377495	18280.61013752	16177.0330407031	17028.0009689922	17273.1797883308	14665.699471897	26308.7253016941	22370.5340794537	18540.8706375941	16109.5247912532	13763.3712803223	24751.9723254532	19033.3216491499	17022.0025555162	31259.7341479418	13626.3080473032	32780.0408633058	18840.5465154278	22876.304880815	20441.9595195764	33851.9117333128	49298.3901055602	63181.9011268259	75037.9931834534	100384.130832518	84698.5369944487	44693.5610127454	110829.532431568	19313.143219062	50340.876253796	92139.8439492926	127921.993316239	54783.7727799026	49593.5535226102	114421.470332276	14311.196700486	107673.836357771	48303.3577197279	105846.840330734	165047.612094208	124601.27985699	163577.380914966	70163.6402205587	229932.172796675	102089.652791064	77574.1937502415	16245.3326220179	49224.9906754689	14858.4529477332	46812.9430072496	102361.031515905	29323.3789662788	15871.2494782232	14919.7810975899	57915.3651978471	72366.6575502835	13626.3498780855	64198.0014564317	89845.9680286211	24891.7980668332	19170.4854920265	34929.512507334	29900.1547989304
ERR1464475	20687.6199936097	10778.2383532746	18091.8767406812	0	12290.7015666316	18474.3187695785	13407.4965597609	25253.867149409	26560.9349044795	14145.4121891163	16371.5603410304	14452.3494975731	17765.5033140072	13585.8954434369	19698.7274715906	23815.1070541369	16949.5924139786	15112.0796384879	11383.1400764464	15684.4874318544	16795.9532923856	16573.4837918888	15362.2868414829	19142.0723277288	11370.915354535	16871.7463530009	26736.2043678604	18758.0209243939	26945.3469638081	28303.957232161	15747.3277733081	17259.55399192	15408.284881842	16761.2368875331	14165.3768040247	71403.7118643002	43613.7168904463	103384.970063351	20021.0852353213	11903.401530655	56590.9754642911	70321.3207213858	45185.7144681812	29869.2101335137	74996.947984568	47123.2536758658	23018.8526212755	134358.976577674	28623.6431468812	32600.5895038725	99455.5275035028	88174.1974275922	120777.331387144	82436.5180487386	92488.784844434	81035.2279135439	135959.877048341	223554.270082233	168665.739653908	143386.044251175	92756.1308000717	16582.536144993	36284.399388718	14328.1295708826	12168.6160264839	10799.2689104402	11902.8146671281	11376.7075641417	36628.9900352166	16565.0661030978	14092.665326332	14889.3475343952	22248.3924587823	33920.3635151512	17215.0456287516	15423.3693141285	10729.2904238817	15484.372638244	15735.5884224264	15364.6947252459	14369.7096352014	28736.1316638131	23177.6625007786	17023.6494912225	23188.1576887859	21048.2169078523	16750.08805947	18927.312302596	14584.2689566533	30562.8492945275	11902.2936024953	33638.2766948606	17541.0858557844	21040.2048706756	18548.9477599135	36654.6524741403	48849.9839611028	62832.6531033029	74744.164233738	100164.681345273	84438.3315503095	44198.462213068	110630.804593477	18138.0033906712	49901.8385232448	91900.7100571046	127749.857299333	54380.6162708736	49147.8404103375	114228.991674618	12680.6946576282	107469.273292416	47845.6271042611	105638.739456697	164914.232023801	124424.549860548	163442.801043668	69849.3097675274	229836.450009567	101873.877284611	77290.0071289944	14829.0423831075	48775.9097608645	13295.2356128051	46340.4930811056	102145.829278537	28563.0919194684	14418.2601585628	13363.7395215561	57534.1567418868	72061.9371860069	11902.3979516734	63854.3111856983	89600.7122572137	23991.4834264161	17986.0273545883	34293.7386413322	29154.9125020124
ERR1464486	17462.1838267726	4026.73031130718	14046.0490886228	12290.7015666316	0	14432.1143634604	6957.54647846495	22542.4151545481	23888.7095088872	8394.97081591115	11790.5271722684	9037.84249696796	13476.1650702268	16951.382716463	16038.9857846436	20911.3160513632	12420.7519901172	9830.33488747967	4379.61082745944	9610.71157615293	12403.8584319558	12051.7996166548	8858.35255563923	16242.7615878581	7310.97045541835	12385.2941022811	24889.3803659312	14391.6466743733	22700.2085452976	25394.5327580564	10644.8731791412	12762.9389640474	9946.04866265996	12247.7236660532	8319.60329583088	70489.6573193543	42100.5703286784	102755.796702668	16466.4985652688	3463.0462024062	55433.2050760192	69393.0102315788	43726.9998170467	27612.8853074068	74127.2144896866	45726.3901702288	20004.2319772592	133875.4507294	26260.515379558	30546.6881510909	98801.3343634589	87435.6381174175	120239.201170001	81646.0729551642	91784.9499809201	80230.9783313154	135482.064820403	223263.999321431	168280.817249026	142933.059181562	92054.3400497771	12042.6804325283	34444.9179996121	8495.86464110628	4963.8556586589	9357.91419067305	3457.20985767425	4989.10893847789	34543.4777056393	12406.1891812111	8299.90307172319	9484.13533222718	19162.4617416448	32959.7920806549	12904.3093189833	9251.86337988191	12527.4587207462	10493.9526871432	10627.4264052968	10896.8924469318	8644.66887740647	25898.2378551128	20073.2860787665	13006.5370871727	20208.1123314376	17744.6147323632	21016.6595109689	15188.917999647	10602.4506601068	28372.3473121277	3456.37700489978	31859.6201483947	13541.7115609512	18484.044524941	14783.9265420253	34396.3598800803	47503.9225117253	61791.9413596951	73871.4546222017	99515.1501531299	83666.8007993613	42706.0391865132	110043.067232788	14116.9716299212	48584.9277965914	91192.3364652973	127241.218797212	53174.7416260766	47810.1656345175	113659.862132593	5576.89322114024	106864.149381352	46470.4826099321	105023.068870606	164520.532593959	123902.261194056	163045.548648223	68914.6413761256	229554.123191024	101235.312979217	76446.3663165228	9497.48487758733	47427.7460354169	6860.3943764189	44919.2945180576	101508.975760767	26194.5021139933	8842.39486790767	6992.22818563582	56395.7526148911	71156.3385230016	3459.59506300954	62830.5242537415	88874.0083376462	21116.1785842041	13921.1673720274	32347.5227954167	26838.6036149424
ERR1464501	21461.298446273	14622.072835272	19170.7394745221	18474.3187695785	14432.1143634604	0	15423.9381482162	16780.6020750151	28030.951838994	12090.7846726339	9569.50521186963	9367.57738158591	17958.4545548886	21742.1687740667	20405.0702522682	23966.4408287922	18861.9896352426	6624.72648491996	14562.3239216823	17495.1068587763	18134.4481305608	9957.48537533448	16019.5446564501	9984.42261725735	15478.8481483604	18261.9850782986	25761.3049358917	20291.2900279898	28126.8672802358	27376.8057121352	17655.0811949422	9695.25182757003	17425.9825261016	12279.4588642985	10743.8707177628	71820.6657167698	44293.0497595277	103673.381303978	21460.703856118	14191.8611887236	57116.1663629484	70744.6542432713	45841.7576888147	30852.6768692767	75394.0326750068	47752.6857150464	24281.3824153404	134581.025939766	29648.4553223267	33503.9757640791	99755.3001449046	88512.1858729068	121024.302241327	82797.9315200567	92811.0614851484	81402.8630884688	136179.316061581	223687.794991144	168842.676954021	143594.135123967	93077.4825454578	17690.0566703445	21938.0419135346	12095.810059686	14196.7231430355	15347.1985391471	14130.3044199338	14095.0798153114	37235.7198533881	15216.8341976904	15616.5330339355	12864.2110523732	23915.9027218293	33723.245469557	13709.6968602519	11466.0800189079	18404.0054607686	14129.3421644463	17328.5874496452	17397.0610736411	15535.7415336378	27475.4995041037	10983.756597813	13275.4387498116	24054.7916848182	22396.9807116942	25033.5194089844	9907.72289681136	11082.5496615174	16325.6922977251	14190.9502500713	33652.1324584342	18120.113106711	22814.820380621	19930.2287242269	34909.3776799301	49457.4452332508	63306.0838466573	75142.5847505927	100462.337943132	84791.2129350677	44868.9426886794	110900.373673852	19715.60607742	50496.6478491395	92225.042504734	127983.373904582	54926.9458644844	49751.6650274139	114490.08906888	14849.8475749753	107746.752424377	48465.6784642493	105921.014109571	165095.190359986	124664.295465863	163625.386688619	70275.4867005558	229966.327337286	102166.55435611	77675.3703435008	16721.7957767699	49384.2822059813	15377.9467420069	46980.4135252128	102437.729353007	29590.0012842176	16358.6118604239	15437.2112118737	58050.8152225272	72475.1043255544	14191.0194489332	64320.2224265433	89933.3397189274	25205.3413585295	19575.881487177	35153.6408640698	30161.6789817808
ERR1464510	18448.2494833521	6873.340817972	14937.9423616508	13407.4965597609	6957.54647846495	15423.9381482162	0	23116.8554089868	24491.0404229792	9825.33225901292	12697.6564766889	10366.0144703738	14499.2677746154	17751.5586076265	16285.8673088049	21517.5574822051	13938.2927577232	11209.5226035724	6088.79938904214	10455.1395016996	13419.1253440751	11705.1943597704	11662.9433249073	16876.9392070956	7062.89430757675	9391.49833626137	25417.6879357663	13079.0978664432	25077.4385653719	26709.7212078299	10233.928962036	13857.9511472656	7933.28752787897	11955.4970620213	8655.67247531929	70675.5598916627	42411.0952346199	102883.413303603	17244.9572919158	6183.49949462277	55669.4099304097	69581.8427896244	44026.0546722052	28084.0597492599	74304.01674876	46012.4519559651	20649.75239561	133973.427533224	26755.5161602239	30973.2648262982	98934.0520195145	87585.5798062672	120348.279900462	81806.6269076045	91927.7978633232	80394.3583903746	135578.880600925	223322.762767256	168358.772955258	143024.831354559	92196.7705453938	13093.3431559705	34844.7004435395	8123.38814781123	7155.75027512839	9177.55909814805	6120.95719638685	6550.57806609462	32175.6426043055	10753.7049894443	9119.63069427704	10264.9345833278	20319.7673461091	31692.6228166745	11506.4786098963	10105.4538245444	13450.4581706349	8965.93285721012	8173.282021318	9420.11125199697	10287.3701692901	26186.7869926801	20838.591195184	11751.4631429452	18073.3352483707	17851.1208331578	20561.278997183	15307.1366035585	10801.838500922	28830.2282856033	6181.50717867415	32850.5777879172	14356.5365252208	19389.3645847408	14704.462621939	35249.0032199494	47779.3431411525	62003.9272465866	74048.8675470462	99646.9170973192	83823.4843763966	43012.1931549648	110162.242274747	15017.7183686471	48854.2545332543	91336.1111882918	127344.299982371	53420.9333875776	48083.8321580134	113775.248789005	7572.6293320088	106986.865549001	46751.9917329733	105147.933750502	164600.269203911	124008.117903628	163126.00623751	69104.7811153469	229611.276837615	101364.843861173	76617.8171184745	10790.9775275459	47703.6064779174	8562.00840924605	45210.4633575017	101638.15787882	26690.7271912925	10219.1449740181	8668.00046146745	56627.9426608455	71340.503845992	6181.56735787939	63039.0177191872	89021.5273683843	21728.6901353947	14833.8086141085	32750.6520240437	27323.1334403651
ERR1464524	23084.3205444735	22568.3921004577	23773.8020939016	25253.867149409	22542.4151545481	16780.6020750151	23116.8554089868	0	32015.0709354204	19389.7442479265	19546.9135159493	15896.7726913358	18585.4056721934	27794.2062847637	22816.0984833078	22539.6780367422	25534.3896539549	16996.3139239071	22531.1113796013	24708.245223002	22978.7850201006	19827.0075150034	18486.1235795934	20182.1271178238	23258.9266304359	25277.3711251783	21323.6351497581	26693.4613154608	32792.1344684972	19212.1043355485	24706.5395391585	20208.2387159297	24533.8736240325	20949.1100526967	20226.4404678629	73846.5155576077	47507.6214201469	105086.963163848	27489.3005731321	22282.4765230438	59643.5771563041	72800.4528832067	48954.7401586404	35312.7102613209	77326.3215147339	50748.5845024273	29743.6609717096	135672.961119746	34265.5911812419	37651.2447071807	101223.612576315	90163.7781151611	122237.398405725	84561.2044616206	94387.4626949999	83195.7087535169	137258.536925759	224346.44963538	169714.317383655	144618.033031846	94649.4458145424	22710.9389281905	27913.6464654835	21045.605978446	21283.9449820751	23085.4446134355	22202.314316305	20355.9623452196	41176.5016848202	23092.6161142474	23302.8669909949	15697.3058197896	29512.0822545614	26882.6771918275	18917.7332680213	22181.2131543791	25390.3300687486	20257.5239355653	24462.1287503766	24536.5646332163	19698.0183013419	19124.4684893463	10393.1967651921	21914.8506269151	28788.7849865186	28305.4897678878	30410.8574361198	15513.4846182281	20682.264455325	23809.0106262314	22281.825576016	29000.930519554	25063.5658875588	28861.0888741225	27031.1516402835	24226.4334560414	52355.8852947785	65595.427340631	77081.1772029981	101920.464976373	86513.8695643652	48044.9982204183	112222.959847796	26149.6646058797	53338.6471519479	93811.2909036007	129131.111015123	57550.579649557	52633.9055077618	115771.673266823	22707.2193145704	109107.573036889	51420.0527518205	107304.990871814	165986.510644691	125842.307671149	164524.669897861	72344.6187839842	230607.050076532	103600.698187802	79552.2658005415	23973.2828373588	52286.7781088106	23056.0422015575	50022.5858088124	103868.129043514	34215.0261142674	23721.383138426	23095.6127002511	60539.2185611939	74483.1563710883	22281.9404226831	66574.701268575	91559.3000683164	30502.6075770581	26044.4806436988	39126.439935164	34710.6138666547
ERR1464534	29400.2606791164	22695.0201806476	27742.741411043	26560.9349044795	23888.7095088872	28030.951838994	24491.0404229792	32015.0709354204	0	25466.7813631798	26907.0727690695	25462.3489293506	26993.3065592195	29585.2959086097	27690.1848495094	31366.2156308344	22440.3239727059	26031.3213648482	22355.0210691021	21954.4577933503	27018.8742548612	27051.2380493019	25765.1957104929	28942.5022415133	24967.8099760472	27249.3892408619	33605.3312883536	21006.2946280395	34498.4742271307	34196.2706153756	19059.7676533582	27216.4620588349	19460.3574992856	26860.347373033	24852.6936367067	74543.7200238893	48584.2816968616	105578.066671066	29310.7485574831	24494.2257481228	60504.6661919558	73507.5797112107	50000.249189379	36748.4127684448	77992.4248501096	51757.8705512505	31434.7531086217	136053.705256417	35743.3780440517	39000.9559241822	101733.367574262	90735.6887834109	122659.854492006	85170.7440087264	94933.9320211693	83815.1793531458	137634.894899513	224576.908427826	170018.84560248	144975.286904355	95194.4112225082	26842.8056283243	42071.7311267316	24174.3438794107	24611.0963388468	24735.2382240398	24475.295340404	23734.5701035431	36910.3135180399	24610.1556273015	25076.8473098195	24959.4475700084	22603.7293383194	37735.3028343486	27074.5768757334	25346.2891958567	27121.9410441067	26164.1794635337	24500.5679526006	23977.7094193753	25355.1545449836	33107.3924675442	30756.9190914825	25064.599677633	29961.2690318685	29570.7733412571	32076.1167381589	27892.4109750305	25445.6154179851	37280.9358788108	24493.7160104383	20733.1918430328	27772.3869337873	27676.007334874	28656.7649953724	40714.6783973544	53334.7640849756	66379.3523846083	77749.380794962	102426.751954751	87109.7466532879	49109.8787312695	112682.967000341	28058.2125945328	54299.8122924932	94361.0970474591	129531.085716904	58442.514944174	53607.7078786251	116217.634918286	24881.2408050724	109580.659009699	52416.4111705485	107785.988890022	166297.865443306	126252.70189188	164838.785909142	73056.1578650287	230831.258455175	104098.81363397	80199.8835971724	26041.8245328548	53266.9268871408	25199.988432537	51046.2283229623	104364.968097537	35694.9064573645	25810.1211349346	25236.1974354299	61387.7456745237	75174.4565527414	24493.7380568994	67347.2284804653	92122.5475331637	32153.8085458006	27960.2093518629	40426.9296014427	36170.2232506243
ERR1464625	18066.1929304433	8349.55519773359	14930.9944745821	14145.4121891163	8394.97081591115	12090.7846726339	9825.33225901292	19389.7442479265	25466.7813631798	0	10593.6949172609	7722.06552678751	13596.0766399723	18308.8696811136	16779.6393882586	20663.2782975016	14632.5981630058	8155.25370543431	8386.66811075769	13219.7127048964	13743.7855411091	10556.0384141021	11093.6775237069	14397.9621821979	10150.0486698341	14192.8297037624	23330.8390333481	16586.4954405685	22502.8646398631	25066.4951479061	13138.2469150188	11952.3105716008	12812.0528019518	11419.5103222511	8328.42133900537	70819.0970995818	42649.8622154867	102982.06873529	17824.0932448189	7651.49750048969	55851.5259415533	69727.631495699	44256.1096121202	28443.3500136675	74440.5578498711	46232.623579027	21135.7995353855	134049.203776076	27132.4048510264	31299.4070550865	99036.6416888214	87701.4454726945	120432.629395027	81930.6655288482	92038.1973313254	80520.5725824152	135653.760040037	223368.22987614	168419.079023132	143095.814516009	92306.8483212378	10377.9345247501	31036.0963556953	9001.47648999874	7521.79818926299	10888.2041218926	7599.3088501521	7655.09105105877	35470.4796556235	13130.4875385494	10586.3500792294	9257.08496234101	20813.6679371993	32051.5839078196	12280.3699455676	11278.2180773383	14398.2702780577	10862.7457854817	12797.0650150728	12995.1596373419	10161.3973940595	25225.740801808	16206.2155051696	12937.8718497286	21004.7446306781	18817.0392198135	22106.5102175807	12908.7292558176	10501.8734043027	25117.8938010336	7649.30277868513	31746.7464317212	14766.0176418695	19905.8770969782	17186.2676285458	33413.1411274067	47991.4094291885	62167.4894297655	74185.8782586012	99748.7736014834	83944.5428899342	43247.641646684	110254.384815299	15679.3371352235	49061.6747981558	91447.2249715649	127424.018481603	53610.6880388603	48294.5614225867	113864.467613914	8812.17697280303	107081.740497622	46968.6967990384	105244.466457862	164661.951798222	124089.979667981	163188.246081021	69251.5741409536	229655.498952235	101464.975824173	76750.2420061331	11694.2269517912	47916.0079618492	9675.62587122921	45434.5215117316	101738.020842751	27068.5179867683	11168.7363654086	9769.54348984639	56806.9858204077	71482.7058595294	7649.93614352434	63199.9011312518	89135.5264919662	22191.1181106316	15503.2779114612	33059.2642991341	27692.2980086522
